City,State,Color
Nogales,AZ,blue
Houston,TX,blue
Burlington,VT,blue
bautista,ca,blue
Portsmouth,KY,blue
Summerville,SC,blue
Riverdale,UT,blue
Diego,CA,blue
Orlando,FL,blue
Elmira,NY,blue
Omaha,NE,blue
Clearwater,FL,blue
Cleveland,OH,blue
Barbara,CA,blue
ANGELES,CA,blue
Denver,CO,blue
Columbia,MO,blue
Houston,TX,blue
Nogales,AZ,blue
Angeles,CA,blue
Hollywood,CA,blue
Beach,CA,blue
Chesterton,IN,blue
Diego,CA,blue
Chandler,AZ,blue
Austin,TX,blue
Angeles,CA,blue
Portland,OR,blue
Portland,OR,blue
Beach,FL,blue
Antioch,CA,blue
Phoenix,AZ,blue
York,NY,blue
Beach,CA,blue
Angeles,CA,blue
Angeles,CA,blue
Nogales,AZ,blue
Redmond,Wa,blue
Chelmsford,Ma,blue
Redmond,Wa,blue
Barbara,CA,blue
Alto,CA,blue
Cambridge,MA,blue
Tampa,FL,blue
Akron,OH,blue
Seattle,WA,blue
KY,La,blue
Bay,FL,blue
Boston,MA,blue
Houston,TX,blue
